foodid;foodname;energia_laskennallinen;rasva;hiilihydraatti_imeytyvä;hiilihydraatti_erotuksena;proteiini;alkoholi;tuhka;vesi
32146;SIPULI, KEITETTY, SUOLATON;146.29000;0.11900;5.71400;7.73800;1.49000;0.00000;0.63100;89.90000
2009;PURJO-PERUNASOSEKEITTO, VESI;153.05000;1.13900;5.29300;6.51100;0.82000;0.00000;1.38900;89.00000
31788;KARJALANPIIRAKKA, RIISIPIIRAKKA, MOILAS;1042.84000;8.90300;35.61800;39.31800;4.61000;0.00000;1.59400;45.58000
30156;HIRVENLIHAKÄRISTYS;567.82000;6.05600;0.00800;0.04600;20.21000;0.00000;1.87800;72.64000
32819;PERUNAKUKKO, RUISKUORI;801.77000;4.85200;29.06200;33.40000;5.81000;0.00000;1.29500;53.06000
29777;MURO, WEETABIX, BANAANI, MUROKE;1725.95000;5.23700;75.57300;85.63100;10.64000;0.00000;2.98400;7.62000
32901;PINAATTIOHUKAINEN, RASVATON MAITO;588.29000;5.42900;16.00200;16.81100;6.17000;0.00000;1.43900;87.05000
7302;LAMPAAN- JA SIANLIHA, KEITETTY;1238.67000;22.53800;0.00000;0.00000;23.81000;0.00000;2.68000;47.00000
8007;SILAKKA, LEIVITETTY, PAISTETTU, SILAKKAPIHVI;809.91000;12.03300;3.79700;5.04100;17.24000;0.00000;2.55000;62.91000
32674;ATERIANKORVIKE, PROTEIINIJUOMA MAITOON, GNLD;353.58000;1.09800;8.89800;9.68400;9.33000;0.00000;0.91000;78.97000
1307;PULLA, KORVAPUUSTI, RUNSASRASVAINEN, KEVYTMAITO;1409.27000;12.75000;46.63000;48.11000;7.58000;0.00000;0.84700;33.56000
4007;LUUMUKOHOKAS;517.84000;0.68700;22.06900;24.93500;4.75000;0.00000;0.68300;68.65000
34603;JOGURTTI, MAUSTETTU, VALIO SILEÄ, RASVAA 4,6 %, D-VITAMIINIA 1 UG, VL;396.02000;4.69900;9.67800;9.84400;3.17000;0.00000;0.63000;81.66000
30204;KASVISKUSKUS;544.21000;3.91500;18.28900;21.98500;4.02000;0.00000;1.39600;60.56000
34571;LOHIMUREKEPIHVI, PAISTETTU;979.26000;15.76900;7.19700;8.06000;15.27000;0.00000;1.69600;59.68000
8509;MUNAVOI;1300.51000;31.20400;0.36600;0.35600;8.22000;0.00000;1.93700;53.33000
417;ANANAS, SOKERILIEMESSÄ;307.90000;0.10000;16.60000;17.80000;0.50000;0.00000;0.30000;81.30000
31708;PIIRAKAN PULLAPOHJA, TÄYSMAITO, KEINOTEKOISESTI MAKEUTETTU;1305.04000;10.18600;44.71100;45.06200;8.61000;0.00000;1.19800;35.93000
31653;KEKSI, VOHVELIKEKSI, SUKLAAKUORRUTE;2161.11000;28.76200;56.53600;59.11300;6.97000;0.00000;1.75300;3.40000
32631;ATERIANKORVIKE, KEITTOJAUHE JA VESI, PARSA/KALA/KANA/SIENI, EASY DIET;256.51000;1.15000;4.09300;5.48600;7.84000;0.00000;0.04100;85.48000
32956;SEKALEIPÄ, GRAHAMSÄMPYLÄ, LEIPÄAITTA, LIDL, VEHNÄ- GRAHAMJAUHO, VEHNÄROUHE;1301.37000;6.56100;51.12800;56.72600;8.60000;0.00000;2.15300;23.81000
30370;GRILLIMAKKARA, JUUSTOINEN, LIHAISA;945.73000;19.13400;1.01500;1.02600;12.89000;0.00000;2.63200;64.29000
34724;SEKALEIPÄ, JUURESLEIPÄ, PALSTERNAKKA JA PORKKANA, FAZER;1184.60000;5.53300;41.93600;52.02200;11.51000;0.00000;2.93600;29.60000
34467;KASVISKEITTO, PAAHDETTU PAPRIKAKEITTO;335.97000;6.10700;4.32300;7.18700;1.03000;0.00000;2.13900;83.94000
775;KOKOLIHALEIKKELE, SAUNAPALVIKINKKU, RASVAA 6 %;501.44000;6.00000;0.00000;0.00000;16.44000;0.00000;3.40000;75.80000
791;MUNUAINEN;399.65000;3.62000;0.00000;0.00000;15.63000;0.00000;1.30000;79.45000
11735;OSTERIVINOKAS;109.84000;0.35000;2.60000;5.00000;1.97000;0.00000;0.64000;92.00000
33040;NAUDANLIHA, KEITETTY, SUOLATON;666.60000;4.32200;0.00000;0.00000;29.81000;0.00000;1.48100;81.28000
33310;PANGASIUS, HAIMONNI, FILEE, PAISTETTU;480.52000;6.36500;0.01300;0.07300;14.40000;0.00000;1.45900;76.37000
32497;JAUHELIHAKASTIKE, RUSKEA KASTIKE, NAUDANLIHA 7 %, RASVAA;407.62000;5.39100;2.06900;2.14900;10.07000;0.00000;1.04000;81.38000
31954;VANUKAS, MAITOVANUKAS, X-TRA, RASVAA 0,9 %;363.75000;0.90000;16.60100;16.62100;2.69000;0.00000;0.65700;79.13000
32957;SEKALEIPÄ, PEHMEÄ MONIVILJALEIPÄ, LEIPÄAITTA, LIDL, VEHNÄJAUHO, VEHNÄROUHE;1013.32000;2.35000;45.23600;47.07400;7.83000;0.00000;1.76200;43.04000
31860;SEKALEIPÄ, PIIMÄLIMPPU, VAASAN;1166.64000;2.32300;51.24400;56.08000;10.02000;0.00000;1.63200;25.13000
34605;(ARC)JOGURTTI, A+ KREIKKALAINEN KERROSJOGURTTI, VALIO, RASVAA 2 %, LAKTOOSITON;325.76000;2.04100;7.55800;7.76600;6.89000;0.00000;0.61400;82.69000
11065;RUUSUNMARJASOSE, SOKERITON;308.20000;0.10000;15.48000;21.20000;0.50000;0.00000;0.70000;77.50000
28924;APPELSIINI, PUNNITTU KUORINEEN;137.61000;0.10100;6.40800;7.92000;0.40000;0.00000;0.32400;63.25000
8096;KALA, KESKIARVO, FRITEERATTU;816.25000;12.85500;3.49600;4.07400;16.16000;0.00000;1.79400;63.63000
29180;LIHAKASTIKE, SIANLIHA, VIHANNEKSIA, RUOANVALMISTUSKERMA;754.46000;14.35600;2.08700;3.09500;9.94000;0.00000;1.49400;68.28000
32800;JÄÄTELÖ, RIISIJÄÄTELÖ, R-ICE VANILJA-SUKLAATUUTTI, GLUTEENITON, INGMAN;1160.13000;10.55300;42.84300;44.33100;1.79000;0.00000;0.59900;42.73000
31953;VANUKAS, KAAKAOVANUKAS, X-TRA, RASVAA 0,9 %;370.88000;0.90000;16.68500;17.04000;2.87000;0.00000;0.75500;78.43000
7003;SIANKINKKU, RASVOINEEN, UUNISSA;1274.33000;22.26000;0.00000;0.00000;26.51000;0.00000;2.91600;47.00000
3703;HERNEMUHENNOS, KUIVATUT HERNEET;324.82000;2.10000;7.20700;16.28600;4.81000;0.00000;1.22600;69.40000
1289;MAKARONIVELLI, MAITO, SUOLAA;263.07000;1.63300;7.95200;9.31400;3.74000;0.00000;1.28300;94.60000
33792;MAITO, TÄYSMAITO, RASVAA 3 %, LAKTOOSITON MAITOJUOMA, EILA, D-VITAMIINIA 2 UG;220.31000;3.00000;3.10000;3.10200;3.20000;0.00000;0.62800;90.07000
794;VERI;217.78000;0.40000;0.10000;0.00000;11.84000;0.00000;1.50000;86.50000
34962;MOUSSAKA, JAUHELIHA-MUNAKOISOVUOKA, LAMPAANLIHA;392.97000;4.75900;7.56900;9.57200;4.32000;0.00000;1.18200;80.89000
33465;JUUSTO, HALLOUMIJUUSTO, VUOHENMAITO, RASVAA 22 %;1191.70000;22.10000;2.50000;2.50000;19.50000;0.00000;7.40000;48.50000
33128;PÄHKINÄ, CHILIPÄHKINÄ;2031.73000;29.63300;38.15200;42.78900;14.71000;0.00000;4.00600;8.86000
31909;VANUKAS, MANNA-MARJAVANUKAS, RISIFRUTTI MANNA;595.47000;6.44900;17.93100;18.28100;2.70000;0.00000;1.05300;71.59000
7175;LIHA-KASVISPATA, SIANLIHA, PERUNA;490.77000;6.59300;5.67200;6.88600;8.37000;0.00000;1.60600;82.20000
35647;TÄYTETTY LEIPÄ, PATONKI, TONNIKALA, GLUTEENITON;806.54000;8.29500;20.72400;23.38300;7.46000;0.00000;1.79800;59.14000
30619;MARGARIINI 60 %, KEIJU NORMAALISUOLAINEN, D-VIT 20 UG;2270.60000;61.00000;0.50000;0.00000;0.30000;0.00000;1.10000;37.70000
30478;KANTARELLI, PAISTETTU;387.69000;7.64400;1.90200;7.84500;2.41000;0.00000;1.98900;83.12000
35505;NAUDANPAISTI, KUIVATTU;1186.52000;7.20000;0.00000;0.00000;54.12000;0.00000;2.75000;35.93000
7617;SISKONMAKKARAKEITTO;280.52000;3.77100;4.02900;4.77800;2.76000;0.00000;1.06800;83.04000
31900;PIIMÄ, RASVATON, LAKTOOSITON, D-VIT 1 UG;105.96000;0.10000;2.80000;2.79700;3.06000;0.00000;0.74000;93.30000
32602;RAAKAMAKKARA, GRILLIWURST CHORIZO, SAARIOINEN;952.26000;18.71900;1.04700;1.18500;14.15000;0.00000;2.02400;63.88000
32806;PERUNALAATIKKO, JAUHELIHAPERUNAMUUSI, KOKKIKARTANO SNELLMAN, VALMISATERIA;436.91000;4.47200;10.65800;12.60600;4.41000;0.00000;1.92700;74.35000
